nivel,sub,escena,archivo_audio,indice_silaba,texto_silaba,inicio_segundos
0,0,0,7-Selva/Nivel 1/a.mp3,0,MO,
0,0,0,7-Selva/Nivel 1/a.mp3,1,NO,
0,0,1,7-Selva/Nivel 1/b.mp3,0,LE,
0,0,1,7-Selva/Nivel 1/b.mp3,1,ÓN,
0,0,2,7-Selva/Nivel 1/c.mp3,0,E,
0,0,2,7-Selva/Nivel 1/c.mp3,1,LE,
0,0,2,7-Selva/Nivel 1/c.mp3,2,FAN,
0,0,2,7-Selva/Nivel 1/c.mp3,3,TE,
0,1,0,7-Selva/Nivel 2/a.mp3,0,EL,
0,1,0,7-Selva/Nivel 2/a.mp3,1,MO,
0,1,0,7-Selva/Nivel 2/a.mp3,2,NO,
0,1,0,7-Selva/Nivel 2/a.mp3,3,SAL,
0,1,0,7-Selva/Nivel 2/a.mp3,4,TA.,
0,1,1,7-Selva/Nivel 2/b.mp3,0,EL,
0,1,1,7-Selva/Nivel 2/b.mp3,1,LE,
0,1,1,7-Selva/Nivel 2/b.mp3,2,ÓN,
0,1,1,7-Selva/Nivel 2/b.mp3,3,RU,
0,1,1,7-Selva/Nivel 2/b.mp3,4,GE.,
0,1,2,7-Selva/Nivel 2/c.mp3,0,EL,
0,1,2,7-Selva/Nivel 2/c.mp3,1,E,
0,1,2,7-Selva/Nivel 2/c.mp3,2,LE,
0,1,2,7-Selva/Nivel 2/c.mp3,3,FAN,
0,1,2,7-Selva/Nivel 2/c.mp3,4,TE,
0,1,2,7-Selva/Nivel 2/c.mp3,5,CA,
0,1,2,7-Selva/Nivel 2/c.mp3,6,MI,
0,1,2,7-Selva/Nivel 2/c.mp3,7,NA.,
0,2,0,7-Selva/Nivel 3/a.mp3,0,EL,
0,2,0,7-Selva/Nivel 3/a.mp3,1,MO,
0,2,0,7-Selva/Nivel 3/a.mp3,2,NO,
0,2,0,7-Selva/Nivel 3/a.mp3,3,SAL,
0,2,0,7-Selva/Nivel 3/a.mp3,4,TA,
0,2,0,7-Selva/Nivel 3/a.mp3,5,DE,
0,2,0,7-Selva/Nivel 3/a.mp3,6,RA,
0,2,0,7-Selva/Nivel 3/a.mp3,7,MA,
0,2,0,7-Selva/Nivel 3/a.mp3,8,EN,
0,2,0,7-Selva/Nivel 3/a.mp3,9,RA,
0,2,0,7-Selva/Nivel 3/a.mp3,10,MA,
0,2,0,7-Selva/Nivel 3/a.mp3,11,MIEN,
0,2,0,7-Selva/Nivel 3/a.mp3,12,TRAS,
0,2,0,7-Selva/Nivel 3/a.mp3,13,GRI,
0,2,0,7-Selva/Nivel 3/a.mp3,14,TA,
